left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,label,body_to_ground_angle,body_to_hip_angle
173.07814853693571,147.33416177652074,91.50798406945297,71.05963942021774,131.38241648588013,128.59954813325004,166.1700937722209,164.4515438384703,1.0,3.9173194120770063,1.207678774722199
162.99911368392569,167.2361538797785,71.67388833412357,86.10924428750644,136.31974916868387,137.16439006389524,131.85973572263035,169.0809234967591,1.0,-5.010715896767388,-1.2863504350869974
173.22630218980203,147.31635229512796,91.56735075089283,71.1458290911129,131.70091686655957,128.93932427834847,166.06935637548693,164.49941677392238,1.0,3.8938948156367044,1.2096764960856228
161.2574382312499,167.03542541352238,72.05945017140911,85.6507764930519,136.46710115614582,137.13482917372284,130.5918686229918,168.80888740164326,1.0,-4.967751816896452,-1.2875749922881046
173.4163639467118,146.9129323253865,91.65133534399939,71.20842648778577,131.81553326328108,129.26402037644147,166.127575870463,164.7925703424021,1.0,3.916929272834589,1.2127123568503284
161.42149235599547,167.13241698319223,71.85809481094118,85.48195638262645,136.63334288438668,137.56799871439935,129.61051338197024,168.98235800206123,1.0,-4.96796390490852,-1.295710442713761
173.81242332504144,146.80183858784466,93.53153148015329,70.92376770343014,130.4487109442264,129.90748473733828,165.96000357918496,164.88599975899407,1.0,3.914536238520328,1.2239196159423973
159.97967881999674,167.2741612219273,70.23500578128639,85.6380978475231,135.6974197825206,137.33934049053278,128.91245475866702,168.57114743989388,1.0,-4.800244952281253,-1.2982463396112032
173.7788929601536,146.32176428404935,93.56819280906649,70.94363798037075,130.5244762783525,130.00719758375584,166.32610521405425,165.50392610254463,1.0,3.8742426235617526,1.2230477764883625
159.08162620953064,167.05717770672356,70.12302308057083,85.42242171395412,136.27736498638694,137.2179554218011,131.05212061240016,168.35228015847315,1.0,-4.646179066070889,-1.2933451655951387
172.6660841074907,145.4001804221052,93.07129552558337,70.16535105535954,130.59550381310805,129.95845441056258,166.5465291947347,165.292122005361,1.0,3.891000275588942,1.2236619987172759
161.24795234105358,166.96941921151057,70.78015187124358,85.67895479771168,136.15416570404986,137.55176039585177,132.36897459654273,168.44592862501148,1.0,-4.778635597464164,-1.2968679387625615
