left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,label,knee_displacement_ratio,hip_displacement_ratio
129.03756307266715,129.75533496546234,130.59738152411046,130.0243461245177,0.0,-1.8957207047365667,-2.165546663641311
133.96630493484957,133.08733252300294,138.43560713363317,136.1069163417648,0.0,-2.4064490307198683,-2.1741441367471115
122.49053706284043,127.62174818194495,128.74206812683602,128.34871608874494,0.0,-1.9012408026551988,-2.1898135199594226
131.14517489817493,128.19893756945942,136.37912463877922,132.31202838237232,0.0,-2.4017920171782823,-2.157092331988973
120.5238068708566,125.28950605817222,126.83796469372355,124.76374737834831,0.0,-1.9218264658362507,-2.1872455638480472
126.22974044086165,124.15657793070648,130.68833918074853,128.9224157613169,0.0,-2.4210983212958546,-2.1845731933877643
119.58891170498889,121.75080194222596,125.08489565036176,120.93252768687452,0.0,-1.9005984805390006,-2.172264731513211
120.95037866135343,118.15898337180919,126.36671488125054,124.69741409040377,0.0,-2.370705483972508,-2.10331243739444
115.05252793651582,117.75380731178694,121.05536230861419,116.98180481219902,0.0,-1.866591147530721,-2.1528840843926766
119.76023568662472,115.21224234794867,124.47444049520558,121.79032281651949,0.0,-2.34091347900934,-2.0819441209549794
115.29244416289285,116.13820884790044,121.44609261895339,115.52160118668536,0.0,-1.9340327139529228,-2.202148756736242
117.62882818140152,116.30862095196834,121.84813967852126,122.90588032562911,0.0,-2.3461001082353614,-2.104861583877546
113.16017575701488,116.50293321465391,116.34205509680542,115.9773289354327,0.0,-1.9333095484876472,-2.2137734506808386
113.59538975152243,112.94277758354437,119.7955443903987,117.42866837117897,0.0,-2.402165889008402,-2.159019414900408
111.73286678993692,115.53069970073129,116.38509064885345,116.03309970210795,0.0,-1.9808314332926722,-2.248323971226453
109.83612800477691,107.76573317519747,114.5415169775945,115.04502667162505,0.0,-2.3594869031701466,-2.115416510217417
111.53921442369703,113.57229659011851,113.69002039653088,116.90970894652568,0.0,-2.0062692460826246,-2.2699491731875177
108.0239141412592,106.44630812477313,113.32583565653309,111.13472209911224,0.0,-2.385811267556148,-2.1343780130401524
108.68600475026597,111.47369984114398,109.57866013997808,114.35419316400954,0.0,-1.9922169532763645,-2.262232825339574
105.8433932527417,106.6098582754206,110.64281032391307,110.8547979338887,0.0,-2.374563637842708,-2.1315190576285303
106.46847414636551,105.91018695480638,105.9874103622355,109.41957864542843,0.0,-1.9369394547028813,-2.2112691396142012
101.16381352040324,103.08400318456519,107.22068862589387,106.03905846569145,0.0,-2.397436430145606,-2.150413333894906
105.68210865919211,105.43835763685622,103.61906749172014,109.04986986756462,0.0,-1.9691572927051024,-2.2397265580301045
98.42322056950391,100.54659933950165,104.47138457356382,103.00469627355486,0.0,-2.4308320794530385,-2.1904171813962976
104.47711440415715,103.44753682224723,103.06733763191266,107.55219025219453,0.0,-1.9855407807128964,-2.2516248551571354
96.16575824131674,99.48288298265871,101.90347390405267,99.96363347707255,0.0,-2.472309907880752,-2.220612110634031
103.16784320490913,102.46845883704047,101.2901560793291,106.25750068928036,0.0,-1.969549917571713,-2.24212348712693
94.51085327867564,98.15803805421993,100.878719746639,99.85676245213102,0.0,-2.453468050919194,-2.2184284057592873
103.24081427529097,101.76006915060688,101.27776220715246,105.61532317538867,0.0,-1.9751406657886705,-2.2510681736197653
95.43049992278657,99.61991658329515,101.27053936656606,100.40283194093249,0.0,-2.4675068786978622,-2.2374142198800446
103.64427108231347,101.20716878012396,100.8533206167116,103.59122973140309,0.0,-1.9590652196261749,-2.2283856324316127
95.90165633492174,101.27557856408303,101.32722355731082,104.01774132487867,0.0,-2.4994226537087525,-2.2740583240153494
103.13800176941017,100.75027353257416,100.88083019515658,103.50233661897119,0.0,-1.957409064348854,-2.228341189232982
96.19878488181077,99.96939755006046,101.77364449145487,100.87410100258398,0.0,-2.4655086065907947,-2.2384064507696575
102.89337136994851,101.66963791260572,101.62197139744246,104.65179096625876,0.0,-1.9540702740487315,-2.2291375613234594
96.0270755390638,99.85727941274344,101.46518038062102,100.75255209659525,0.0,-2.479659264846522,-2.258388692196777
104.59540687744882,103.48926124721406,102.87402639784878,106.36106428887032,0.0,-1.9624606784118224,-2.220099459642951
97.8122986094444,101.2270306761092,102.97885748371792,102.0302979843788,0.0,-2.4809237194004687,-2.2750372566363493
105.58876488048844,105.31266256216824,104.15230928489531,110.29156950481527,0.0,-1.9687084389183558,-2.224660330056686
99.51837608166215,104.09113133499973,105.44516508487223,107.37245467719305,0.0,-2.4942394874303755,-2.2825835588523202
108.85377530827897,107.70215867739421,107.47304457638272,109.60491813307695,0.0,-1.9539996850823056,-2.1927284360558796
105.020567135189,105.83800986872093,108.6714025897038,107.58920555630971,0.0,-2.3921907853629056,-2.1759422114172917
112.78047289815754,111.7507556016766,111.55820306276057,111.97151274558452,0.0,-1.9717697422349638,-2.2000844335851384
107.66326319184519,106.43214157610927,110.83483638732467,108.4985906020152,0.0,-2.4139842120962616,-2.19509948063984
113.37291499327979,114.05473546764063,114.21521524115727,113.97359595793854,0.0,-1.9613841019111757,-2.1914348914872157
110.39318447550995,107.9925231388525,112.70640468555158,111.97498042007997,0.0,-2.3468805257083254,-2.1251441687709747
113.83324490175644,117.26729518810205,116.2540135421678,117.39304303761668,0.0,-1.9912853711474967,-2.2319837476821958
114.72712546798597,112.95421777131014,118.2708728759792,116.04706863432438,0.0,-2.391689822851816,-2.1950611341801256
118.63952202995456,118.03046989345698,120.50688995679194,116.93382656723905,0.0,-1.9616270207392743,-2.170266642667292
