,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,label,knee_displacement_ratio,hip_displacement_ratio,shoulder_descent_ratio
4445,98.13588452445748,127.16617294350225,133.4780701008426,127.64440547503688,3.0,-6.556319606883234,-5.692740427580382,0.8431537875189882
4446,74.6759435484188,67.58609535805307,99.77380146054156,102.24091807389082,2.0,-1.3660771399524352,-2.091749469909112,0.5804881196076063
4447,115.30735484340956,113.69565144524972,127.33276520181128,126.952865190691,1.0,-2.2524253533859437,-1.803822646337008,0.8428852654203554
4448,116.79123882777608,113.34806322256638,130.8208947570817,127.83898472429152,1.0,-2.1542605959859493,-1.7128322312482591,0.8453455003905015
4449,168.8436291170972,165.0214922226359,174.1457535361528,174.05477818048635,0.0,-2.03762226932721,-2.012362084995599,0.9936474114377688
4450,91.10806934354171,91.05886189636614,137.1529472429971,136.30332787368818,2.0,-2.029026733739536,-1.4227323271567291,0.7142074365434947
4451,80.51749554321877,74.49471348138721,115.03018394318484,80.51897571782915,3.0,-1.3805901938797036,-2.6493223904751804,0.6429487269278745
4452,82.57649830795702,77.084395933638,111.72276829041904,113.8113376197031,2.0,-1.3889533429762202,-2.089996036593153,0.6410836692896267
4453,157.8809676163003,158.72649372666393,172.18403607812098,175.00665499117537,0.0,-2.1878447992644907,-2.0304417415629588,0.9825284547846724
4454,162.86130971954637,161.15088819903502,170.34385722784367,171.79119677944183,0.0,-2.075554322639669,-2.035373580398061,0.9879615167088526
4455,113.52995801920348,139.9659520700311,144.53948181827488,125.31893785172817,3.0,-10.204913050195907,-9.061123129157805,0.904615278352806
4456,103.03758522195912,95.403442166752,104.7626673244413,101.17462718065394,1.0,-1.8556752324978223,-2.2885469105133387,0.7647874810718404
4457,113.49145003109162,113.8175567337785,104.90721403757686,101.9426975740924,0.0,-2.4843448481237784,-2.3301663273774302,0.8412327817153046
4458,99.51840374073878,95.44573993073833,94.43028168304691,95.96089199763504,1.0,-1.730898909308591,-1.991052192245871,0.7575855362815229
4459,128.5839003568589,124.80075926919524,133.8583275882084,130.179819110879,1.0,-2.1415961873405496,-1.900129483744735,0.8953849014022038
4460,153.20458601479706,178.5011001367103,141.20546004158936,164.43033957493105,3.0,-1.6994882399776323,-1.5596595262688346,0.992933326416495
4461,152.40906867013504,110.26347616032416,150.63514344090444,150.85277514393744,3.0,-13.910753656686447,-15.140460689695209,0.9199827420936338
4462,156.55358627682318,176.45290083950556,171.49509525213264,148.6081297883456,3.0,-5.540332228940122,-5.271402888285052,0.9931207683391516
4463,69.82591803636926,68.20620044586506,65.12141010752504,71.09997047614563,1.0,-1.6387840797595032,-2.1279506550936627,0.5783613914745196
4464,93.99211130739148,92.92923062996002,140.36906361819112,138.9548264416124,2.0,-1.202883481413051,-1.8707845868068211,0.7282640013385755
4465,106.25594253967496,107.99520175476248,119.80307135252924,116.55219759354992,1.0,-2.3773909105409747,-1.9611944049446235,0.806763397429053
4466,47.92336719301153,52.048766178233365,90.7132807895933,86.57007798608649,2.0,-2.3636565959514013,-1.6362640183777772,0.4266363899518666
4467,128.11789692241763,127.45192156297978,128.6832366201255,128.8229023060413,1.0,-2.2636349762766805,-2.1413297920762417,0.90001064374618
4468,47.312157516820335,51.19316771560924,86.92853279243177,84.68427734920009,2.0,-2.266992319878907,-1.508897044870218,0.4177782336944606
4469,99.08299800736066,98.11798783067428,125.25843721520845,123.39176123583526,2.0,-2.17036851482652,-1.663463863750671,0.7605014475364353
4470,47.23778091695607,50.51761376441091,82.3407026244229,76.57018174455489,2.0,-2.363632733050056,-1.604788815425703,0.4139086702515489
4471,135.03025706904583,132.95567774323231,142.4825017109399,141.28266444840696,0.0,-2.386518240549988,-2.205547254746288,0.923247341740792
4472,53.85187782941093,53.1916747817319,76.08943807043254,78.24446207823223,2.0,-1.477663705219927,-2.2039347080181684,0.4495889720125386
4473,70.93143031191994,71.1470808735315,108.04194873611146,103.78509119801006,2.0,-2.3875641596973387,-1.7394194672902512,0.5815525655082536
4474,140.2373382632772,139.3402876540748,145.45357459292703,142.89986839627738,0.0,-2.3182194904508155,-2.155818837123446,0.9409609124386168
4475,59.12024186818396,59.66845031410755,58.74706647344843,58.05589591518357,1.0,-1.5323904874545318,-1.9119742718486397,0.5048506652703445
4476,53.41361288603648,53.92069876468201,88.1898664279157,82.30031517698173,2.0,-2.3644202199644293,-1.619972339080288,0.4520583330782775
4477,116.06556292658694,114.43855856251584,129.2475335533086,125.2971645184056,1.0,-2.2847345179513465,-1.8448563270332372,0.8471399865408256
4478,76.17341415728767,80.63091585866086,80.53895573918074,79.80778740233983,1.0,-2.413376756168644,-1.9652779955038715,0.6371761690617067
4479,154.37914577794064,162.229337505238,175.84775026174904,175.1255726685047,3.0,-3.576305368493518,-3.409696539304402,0.9992974255168464
4480,57.3820189359275,53.5370051458095,99.13360031443445,99.99834009229826,2.0,-1.3917007786467317,-2.153580827680611,0.4662957973662389
4481,84.24096501996063,79.53417400243522,118.65679304258914,117.18840234047582,2.0,-1.242723146753452,-1.928350822725216,0.654362886989063
4482,157.299539523236,171.86365535264844,172.4586248777147,146.16962071830207,3.0,-1.5238569524461898,-1.5593927028471122,0.9912924357096872
4483,117.810738202314,115.10446706436784,117.99551893663806,114.06625373393214,0.0,-2.684393241866668,-2.509356011804165,0.8570263061983618
4484,135.5246448299682,102.35654226855011,96.27896339786275,124.8873364924711,3.0,-8.855019548591189,-9.502258070016914,0.8726942086305767
4485,156.55358627682318,176.45290083950556,171.49509525213264,148.6081297883456,3.0,-5.540332228940122,-5.271402888285052,0.9931207683391516
4486,104.01002075059732,104.48189308554925,104.55234428492116,108.66112880788243,1.0,-1.7076827212509245,-2.0762566488388825,0.7946337094452743
4487,103.36734592775576,107.30198146056436,111.75657939307663,110.10396631886958,1.0,-2.4949861883315645,-2.21082582843617,0.7983053394238088
4488,116.6166534796602,115.7196025540843,128.52607075616015,126.11418097907696,1.0,-2.10588883578962,-1.6493978111375456,0.8500364014199566
4489,91.4155396849379,84.67425098230301,119.98891395194278,116.44061211064889,2.0,-1.3652280134325974,-1.9853507224320697,0.694797188051159
4490,139.29252904166472,137.16672103517078,137.39537799446558,136.2176160124044,0.0,-1.7616426659056286,-1.9751888554517836,0.9353899890461068
