left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,label,knee_displacement_ratio,hip_displacement_ratio
0.8579374495451146,57.69770124501683,50.24383592533138,72.76866053076597,3.0,-9.271444066711904,-10.664686642826878
80.01330795445426,98.36337684600751,83.80381521547844,55.42941395006437,3.0,-5.466291130855259,-4.376032711772658
80.9683902950091,58.86868381523138,117.03379008706158,95.06909420678217,3.0,-9.590364041700312,-11.24443482286024
85.3190954750323,105.56877785034268,113.10413025433522,95.63718549287434,3.0,-7.036663614604074,-5.6097461277165115
86.95107214836557,69.4182940403851,125.732112635259,88.31165372070905,3.0,-11.651602266835454,-13.123212024605042
85.85649697231229,107.10937152840614,122.94282111042699,72.56842535939748,3.0,-7.249914826067182,-5.733627290318778
109.80963509374295,72.24398727982715,147.53507334182208,58.167625389825595,3.0,-12.191826739088892,-13.230749120517302
84.01405607384243,111.86665268332882,141.32445872001375,43.80031423815293,3.0,-7.505534065789349,-6.04837216650664
110.64904220982386,71.21786414206656,145.37492603724013,82.1655440955652,3.0,-9.994608217991418,-11.231082522731363
87.28064581780531,104.14557505288762,135.6801063108065,12.624918751297923,3.0,-5.767120660819002,-4.523841241206708
109.32504481426089,67.11469169210379,138.05808853764205,86.08161648799089,3.0,-9.425088728229857,-10.691869453778386
67.45166892232116,100.24292533909085,146.89745833799896,56.37516726228238,3.0,-7.317641148272024,-5.652905705767075
109.1980152933938,73.74757364392211,84.59653272864617,29.28559092115482,3.0,-9.271038807082311,-9.681254516003552
58.714619648697365,92.79565326473659,136.03314578797628,74.59322690748492,3.0,-6.778188468432435,-5.046054601120085
104.4500009627895,93.76745332975865,136.97224855566543,38.62653671944642,3.0,-12.852564183757162,-13.452520931767125
68.82889860241414,94.7957758011369,162.74744478135892,75.27965606367232,3.0,-7.053909663244906,-5.257223505338805
113.07648248649916,108.87467593864152,144.17724212901464,46.98217408470447,3.0,-12.735057883226323,-13.219551087320035
95.88649251576507,101.38619893129669,146.3407744783393,92.26708508571724,3.0,-10.360841118251681,-7.922667444225873
122.30320601179548,107.07375203021776,147.79109204225634,43.80958857685487,3.0,-10.864896076682458,-11.24496057199116
74.90071587104407,101.33319670504682,70.58135190184251,107.99265126669104,3.0,-8.77742763825751,-7.480495030234667
121.16897315496861,99.68976503056642,136.84332626615677,115.90831841480609,3.0,-9.554642505148687,-10.383275941072261
79.51424467613592,102.77679829018908,56.052959954528276,128.4885638612907,3.0,-7.535361620597309,-6.203444672433838
115.6919118552833,68.53371609354859,136.57290213684615,87.09324909474807,3.0,-8.80786100217525,-10.069821340082576
75.70314228881365,96.13161669057152,111.16454937173359,81.57405602390843,3.0,-7.42402065195036,-5.721753432439068
104.25965068679844,63.344283960879416,87.78965963065838,95.25817423972035,3.0,-7.123675075498802,-8.254120312753537
23.44088315395509,71.17939635610563,59.756777951047276,60.387878558084516,3.0,-9.584474942333816,-7.438634061914187
