,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,label,torso_straightness,arms_straightness
0,92.85872376615904,91.18435127547966,112.2603818620181,141.2836719412531,97.57913272023524,93.42322226340892,1.0,-1.5072293975343234,-5.266298618172183
1,145.14298533412068,137.91900507328154,5.017479838577581,13.55876631518212,176.82586176283098,160.2592453588165,3.0,-2.60460753093469,-3.190883988047068
2,116.8337499425584,114.28518737331616,70.4593871687756,86.60508847256288,123.6187963716604,117.18857755063031,2.0,-1.1541554453227263,-2.9235874911338704
3,128.9768012695193,118.772338865152,5.571021400937583,45.134638118703336,106.93435066246673,68.21500309785091,3.0,-4.209431221427088,-4.666706181054835
4,1.4549876693199495,20.062106662223275,12.251921761178124,33.75408586376584,119.44785013074552,127.79374080013778,2.0,-1.3669143086711064,-8.629031897037551
5,132.41299113779354,131.71840901868995,93.7041638135924,105.15480881155516,117.51711589862136,115.16048312444424,2.0,-1.1202854453626343,-3.36931962441978
6,105.2682968626244,101.18697951697489,95.82531237841772,89.5989435893266,102.451422880784,108.22706617318038,1.0,-1.2521385221040788,-1.6008729655536291
7,83.5597043112116,73.707227935673,12.971639222606754,3.505779842101607,51.24648443023269,66.29862020023837,3.0,-1.9708236069726817,-3.863357392781033
8,100.7154849362866,99.5691624979398,94.37144602230148,104.89643438854534,107.17576796791238,101.9678790220044,0.0,-1.4399170989656316,-2.8030334018142318
9,120.1792964948655,92.91138012082618,24.13895355861171,19.566928244548443,90.42747515336865,88.00075875167948,3.0,-1.156037961307853,-1.1015998159613911
10,136.50469413116167,136.95987839756424,47.09718098153129,51.174920975527336,72.13411811586714,61.37205461322637,3.0,-0.8917852962646275,-1.124700549242902
11,162.82569558897868,140.60638025175027,115.95382019151542,94.92269782030051,122.7684593024342,127.364596605456,2.0,-1.4602468351704458,-1.20080466574614
12,133.96199290355491,132.73289207631012,97.42237920273412,109.4131626450372,126.62195733631609,126.4325619176918,2.0,-1.1575354441755834,-3.221385143005008
13,155.5207776718436,160.54297590318026,29.15509028818008,155.0203885900713,145.77785750304568,165.1453604753288,3.0,-2.5440220600510166,-34.54338505362279
14,36.84993309191164,43.700369789502346,27.259014087159454,11.727218382621803,96.62031993660804,101.2626165369076,1.0,-1.1377796274086602,-4.210495065851372
15,161.97636972101026,157.75699982245513,106.9081522237604,104.21812477390093,124.08531179796262,123.83579949038544,2.0,-1.3798525908200907,-0.6128032561088548
16,44.12317945630678,48.39916151964902,38.37571256425032,44.99727691452545,101.27685799755288,102.324188563933,1.0,-1.2104216040906115,-3.4714468398738907
17,14.325374377526726,24.866793341450823,34.9052440074406,27.08885896349769,118.4846414844819,123.43631077414572,2.0,-1.4174383910309027,-5.657143135966463
18,143.22931899946963,151.6451824425973,92.31029876532328,108.02728245084836,119.83441349411903,115.1709440508355,2.0,-1.1283109940437632,-2.192941973542023
19,78.74291792235809,66.40565227227412,86.60570531858414,106.62827519223367,120.16118831843146,118.74122873597182,2.0,-1.1365232319098737,-6.141476073818531
20,132.81735958754743,129.9491644961029,131.6792180712201,127.89666387091872,104.79652007850484,103.45313283229687,0.0,-1.0536484451797063,-1.008692333488616
21,146.03633494758037,135.15242246764606,119.75624169624764,98.37978986968491,119.99732826209096,124.87760698531068,2.0,-1.461271333371997,-1.6476974480015136
22,110.52546701795632,112.5947184254272,101.62517050254472,113.76309733885276,105.4641280956266,98.15479260018031,0.0,-1.414015777825634,-2.4824855001478845
23,138.80990496945205,160.9580384530553,30.54594392521423,170.71083986595124,149.52461679542006,168.4803280282758,3.0,-2.6657884666306773,-19.255536128906925
24,131.6762685573985,163.1209419708897,2.2480243143568064,16.154980034486183,156.55358627682318,176.45290083950556,3.0,-3.3134216820530944,-3.6207852922553942
25,114.91774521679396,114.17194297750044,109.68604343235388,105.9634934824951,103.64946211124618,102.70248320635562,0.0,-0.993161075540276,-1.2037995887961532
26,131.6947185621146,144.42272284191964,16.935897911296532,41.27519757243741,140.09091934104148,79.96658976073675,3.0,-5.375350176020337,-5.778694040818164
27,19.47701330919836,23.75112299146718,13.76160445873974,25.00707311347752,120.69745721475724,124.10952189205588,2.0,-1.3510153476905282,-5.327968044814123
28,171.50514736382462,12.320748900403602,40.30828742702089,65.65927634755629,111.95419684814834,162.6451013825833,3.0,-3.278713346231494,-6.983144741352077
29,168.3882645480647,92.86480010399556,12.799650091109596,12.28221505121812,160.7397835598731,160.94654347976336,3.0,-2.468423863566601,-4.9054416376838175
30,81.06753269332292,96.11443248901256,65.92292823805286,76.6710842071246,123.06981201294964,122.2087077114292,2.0,-1.2328425150842943,-5.479771633192198
31,160.7307047939643,139.60788235485174,115.85255716787022,93.9586220096566,119.67836661438017,123.81242754323976,2.0,-1.3888503007715338,-0.8445237160161285
32,130.38157348710055,127.31574906141618,123.85376272093866,134.21330200954733,106.27174801411408,100.88047256691878,0.0,-1.4514075526942665,-1.7812113803087626
33,104.05716832989626,104.09565235335424,98.87496927461608,100.76837608585154,101.30183653661804,93.54958767929972,1.0,-1.3859686403552915,-2.5628820823230423
