left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,label,torso_straightness,arms_straightness
153.90507205213848,144.12059081925207,114.75148633516294,107.73600104253616,124.69868085362228,122.85951758370322,2.0,-1.4171268366318124,-0.7742719205536273
148.182818008296,133.3430850798529,105.27711586404364,106.5602580134435,121.89697906794305,124.05748195533174,2.0,-1.08149172116044,-1.944243606547038
151.8825528712914,140.18336893925687,115.48553798563046,106.56199860415458,124.30432000034939,123.37185221759752,2.0,-1.4247489461958733,-0.7839662435708137
148.19676429563853,131.85698739632255,104.15602912056484,104.44364440716242,122.24223243472025,125.05928839165668,2.0,-1.062240003484379,-1.9466011226057258
152.46518039680873,140.00489353371592,115.25291835531401,106.87275859236235,124.4463728599856,123.02352737380836,2.0,-1.4143222960447361,-0.7658922860618347
147.98423876628706,132.0921499275642,104.40970664348632,104.84553956810392,122.88477622608163,125.14607838197944,2.0,-1.0719545298791657,-1.9294352654203122
150.94214156256115,141.49901407185516,115.20129391261247,106.90682890831391,124.43841801013141,122.87289216305363,2.0,-1.412423636948287,-0.7675252244467967
148.11522753471806,135.20781335887537,104.12017160236809,106.95239991597468,122.93020504841154,124.4730899336871,2.0,-1.064500962452351,-1.91635302308649
150.8521344508811,138.49321132481478,113.81832735009962,106.48627650922064,125.09724447911957,122.56710179668663,2.0,-1.41360345103994,-0.7507269760927462
148.1982063694455,138.93440331968768,103.65165617701977,107.8666783033663,123.41495900194741,125.05119490594906,2.0,-1.0675144816467308,-1.928509183092399
150.64047891133882,140.40804724367314,114.15283291294739,106.81317446786541,125.65104051662766,123.13750903515975,2.0,-1.4186388224796456,-0.7355660576087781
148.42413875049184,140.17319540255158,103.42457104302161,108.33930725283828,123.54165327600953,125.31903497895271,2.0,-1.068943819212728,-1.9332629287305156
152.47850738520555,142.85251186425234,114.36814200194347,107.79971185283557,125.39501439478552,122.67624315841789,2.0,-1.4134929057295058,-0.7284394530475993
149.20806440636548,144.64222969521768,103.3892417355156,109.51567496197035,123.71741615233327,125.57877658171498,2.0,-1.0633567246198306,-1.8789236154405748
153.9879863104,145.13300049304203,114.56453605326006,108.31589612513815,125.71251579388792,122.91862759001715,2.0,-1.4166077733415496,-0.7296102578121626
148.17126264216031,142.40358805358736,103.00604495624935,107.85899971275605,123.96540673863116,126.15446911133725,2.0,-1.0557538451847948,-1.8809087596752447
155.2141740410508,146.99039788426467,114.70249054881208,108.968927813205,125.45692150010757,122.36961514731357,2.0,-1.4150804758670894,-0.7379613306645096
150.03193649050328,143.4109258654106,102.92398952552274,108.06700721386076,123.65713791480222,125.67619036645121,2.0,-1.0473336067275392,-1.9044010313526996
155.77934808350815,146.9097647635878,114.73682437590855,108.83000458417004,124.83752116225904,122.08568067183661,2.0,-1.41048960518068,-0.726082247509189
150.5237251261266,145.8881786585074,102.66224130460287,108.68595901844216,124.09282624058972,125.578973616793,2.0,-1.046196138617424,-1.8697219440000872
155.39959914894823,146.31981612301897,114.09354284509489,107.99415760942821,125.03696068847202,122.38058268563844,2.0,-1.411185110959776,-0.7195257108851043
153.83966353508137,148.95651701525296,102.58493657481014,107.67336314486167,124.22006377742491,125.9614199596032,2.0,-1.0341316698868785,-1.8201712281654792
155.52223035155933,146.37856096517555,114.10418168739592,108.19942658531772,124.48887081874737,121.67934078669137,2.0,-1.4060801046694074,-0.7245227293888814
152.55899757632793,150.2296494986103,102.70078884384543,107.69703906268784,123.73069656723722,125.66036805370763,2.0,-1.0284519199949276,-1.8344360551643035
156.00105109581003,144.52021837867449,113.99032999772668,107.64954207152482,124.45802026783078,121.67689043867915,2.0,-1.4100352222982748,-0.7205022880868732
155.39012455743148,150.01767120573808,102.73661799752502,107.4853616310257,123.90788118960181,125.78609504576217,2.0,-1.0236190598819133,-1.8183755867143954
155.8918146497809,144.3181894868355,113.61144618042547,107.9120345697665,124.47136124854214,121.07920831662722,2.0,-1.406825288168198,-0.7213304376349139
155.91294084036426,150.5314726284503,103.05358636698787,109.17645975505903,124.02110372785435,125.32576360226864,2.0,-1.0354202950327545,-1.8081967708519548
155.87922636671897,144.26142803151524,113.3662174059071,107.54479679707734,124.46307638638883,121.2695722790512,2.0,-1.406422203038919,-0.7250430660307265
156.66795797162564,150.62144866388408,103.51150311295387,109.38479393015135,123.86292826497336,125.03851409650859,2.0,-1.0318216962785351,-1.8013137980732972
154.818149366615,143.75550856658035,110.86865832039203,107.8577700695263,125.91254273351431,120.942027059302,2.0,-1.4097364734783073,-0.7071626691212494
153.30974992124686,153.98167918886048,103.87664173518286,111.12971742905083,123.77843214634751,124.899255884501,2.0,-1.0370146305182104,-1.7785382138212973
154.786889005815,143.14545712905905,110.995072003266,107.44082876510909,125.87430659031844,121.10722709318043,2.0,-1.4088898217281525,-0.7064267554105721
156.92086696014132,153.74196070821299,103.75239307030164,111.24838686548395,124.03991526836921,124.9786480615513,2.0,-1.033537825114653,-1.7744495692412836
155.01200168806204,143.57206904894093,111.08414092822689,107.84030435759061,125.85701161058418,120.71048462105027,2.0,-1.4083395965034609,-0.705938846367453
157.35302156425172,154.05741578108592,104.31872299501819,111.62202191610682,123.4148902219559,124.71718589181205,2.0,-1.0384279783826011,-1.7625651466082881
156.55535117155526,143.53399752794996,111.69183950607011,107.70675665184841,125.7233927581423,120.87081381663377,2.0,-1.40846530151767,-0.7057744222847917
158.56997006041058,149.62084165055825,106.5287135375717,109.0347357211634,122.22462472988009,125.2508108235616,2.0,-1.0313805150646769,-1.7656079201553383
156.0873808312876,142.99065564813904,111.84422840482497,107.59441120656017,125.26213155827658,120.29308063840067,2.0,-1.4065228407960115,-0.7032709516879896
159.61583870454166,153.54350850521652,107.7031960592453,110.15279899239817,121.28442881115889,125.0225503728877,2.0,-1.0365737202412637,-1.7582305651809533
156.67448770613626,143.65606950906223,112.84427772578171,108.13458910147155,124.91538394915194,120.31215032044612,2.0,-1.4083367867020469,-0.7054607989509183
159.86617379297027,151.98023676107704,107.85891761229193,109.55527400541204,121.1011140329003,124.85125600794798,2.0,-1.0335390238700453,-1.7581497116344917
157.12987437294186,143.5466572501845,114.72846899800854,108.50188091367106,123.32729227098717,119.67010523915565,2.0,-1.4000006951090787,-0.7203887675890537
