left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,label,torso_straightness,arms_straightness
162.81818636450143,159.44982740806387,151.24888739740837,140.26853375502102,102.72646536618453,104.98991060818653,0.0,-0.984488674857634,-0.7146594540566464
157.24735351709657,160.78833695950607,135.53251934502737,151.51678990162566,105.40214828273116,98.85434200465491,0.0,-1.3686921138263743,-1.546449407374102
162.6513995512605,159.3539495873353,150.52690935064427,140.4805567356731,103.04602681432112,104.88029444739095,0.0,-0.9885185814159874,-0.7282377487463394
156.98970028846148,163.1952524438545,135.71791073623416,153.18015784136594,105.53738923628903,99.80445105510573,0.0,-1.3809120615952848,-1.5367250313869585
163.95818759557548,159.09522508629712,152.31152076978788,141.8009131672093,102.92388473679654,104.95023064001118,0.0,-0.981894501404446,-0.7904004301441763
159.38689146925148,164.4640906670241,138.73064159307305,153.97842332416852,105.33325267934572,99.71091287051901,0.0,-1.384186184598243,-1.5362158503417316
164.0302934269463,163.05446616720332,152.45945045244414,142.86929340333805,101.61455878084334,104.92341953789705,0.0,-0.9734369443710591,-0.7677455869847527
162.95775995196078,164.19392691766848,139.88352781493228,154.4491031383299,105.3144141330796,99.22818590127775,0.0,-1.3760510458972632,-1.5754453453650075
163.83637744579,163.24511985144034,152.73734597105786,142.9455007382683,100.52285728530468,104.45154356532248,0.0,-0.977433583438533,-0.7564124236275134
161.99540196065578,158.60942528701443,139.63549058135922,151.3640008134577,104.85311307602441,98.66968012878212,0.0,-1.3679310318953517,-1.620731925751873
162.15781536638264,162.70289456556606,151.29601989430094,142.85254852058182,100.83074252511233,104.02143859487761,0.0,-0.9707957111521313,-0.7428140892498705
161.436692815043,158.16501598309893,140.8346296892964,151.17878024615175,104.08435741888309,98.0094775155417,0.0,-1.360719158227297,-1.6128899931022325
160.8312249355404,162.0273777436135,150.05283845290694,141.97194963751065,100.90506591094442,104.03116104164346,0.0,-0.9677480329765453,-0.7289510179617809
161.27570598180705,158.42226156224018,140.69998311530458,151.123939335657,103.88067950652261,98.03124821649219,0.0,-1.358309323938963,-1.615722015630567
160.0367002095868,161.30702366394814,148.96023816452777,141.22802393215585,101.39642246771493,104.24774052003119,0.0,-0.9687087433104591,-0.7126396090327518
160.75611899504497,158.1358032517887,140.6945464702314,150.21045687901065,103.28498967579563,97.78470520074434,0.0,-1.357081097667284,-1.6081998029891609
161.40282801645958,162.72164860265465,150.03517714839563,140.77330777335092,101.69499784160719,105.04028547921406,0.0,-0.9720491273611396,-0.7060046415411783
160.19015148441133,158.40986439536243,139.746095682887,150.37758285047738,104.0339967819121,97.27156996611453,0.0,-1.3588264384339026,-1.6091023036788243
163.17562797760456,157.97535321526192,150.54370733005214,137.9170682427609,102.84080856854752,105.88432592773029,0.0,-0.9758134097071649,-0.6871535391781667
161.08373363221014,158.72009665016688,139.81945762826732,151.11305816488826,103.33434413424129,97.83558919620853,0.0,-1.3629122272870822,-1.6171227601727125
162.376687712866,158.3141199560545,149.41266970778864,137.3896823332014,103.48839335274987,106.6424278379891,0.0,-0.9829857731650211,-0.6838711671012296
160.88167265447984,159.1418801360647,140.06587769736356,150.8261642864173,103.0133388764112,98.30426670113668,0.0,-1.3826316719756533,-1.6242374219888243
162.86727692455491,158.34162505375807,149.2271195029801,137.25457421545764,103.33379428056107,106.88042531733998,0.0,-0.9790489157414886,-0.6900137883432647
160.62850709190158,157.80712329640036,140.6742435671949,149.85448311043342,102.95114416428146,96.88624356034614,0.0,-1.3952297721709161,-1.6106491324511736
163.96146952332853,158.3548658856149,149.14638521304107,137.25091505059925,103.41743352838782,107.11014163234219,0.0,-0.9772935018298512,-0.6968966004018726
161.40856688876255,157.5753641009757,141.17780259793972,149.0795907481857,103.30240841150572,98.38212483045668,0.0,-1.410011788292382,-1.5885023532936224
163.74458404052655,157.69398293103384,148.15415694460745,136.41842897150258,103.47250338649728,107.46225631759691,0.0,-0.970683171872943,-0.6904353693341851
159.55535678787578,157.36058622644308,139.35991653064806,148.93816524289466,103.89544280849023,98.75709097441644,0.0,-1.4109910504210141,-1.5819392686222105
162.21464268943967,157.0623834617766,147.90416349419422,136.62487861735227,103.84626473864422,107.54919971775826,0.0,-0.9709439509446032,-0.691638435422302
159.69352350037406,157.09458672627673,139.53933238179675,148.95274530794302,103.84174854500806,98.29988632321525,0.0,-1.41526947211677,-1.5797419711458773
162.08569563314612,157.43453115855243,147.99379135307126,137.13697608947555,103.85813293499557,107.4551783987243,0.0,-0.9676460553687074,-0.6911643035388042
160.72190611527955,157.28361806364225,140.8679265533061,146.27150860849508,102.83998977093276,99.36007664468883,0.0,-1.3981051671503169,-1.561094402193656
163.3257070173323,157.46127801150794,148.42941182408967,137.03252682587382,103.83770056814542,107.35065719770276,0.0,-0.9627904998006864,-0.6858744253358975
160.26247059046693,156.91225917825102,140.71450646815154,145.86901033627214,102.37102252014223,98.4577358078612,0.0,-1.3836064085326427,-1.5537175174455347
164.40143450338505,157.4873651447178,148.4101595408653,137.15959244855858,103.28202047539605,107.12243010565457,0.0,-0.9532503835356403,-0.6795277341620747
